,JAHR,MONAT,ZNR,ZNAME,STRTYP,STRNR,RINAME,FZTYP,DTVMS,DTVMF,DTVMO,DTVDD,DTVFR,DTVSA,DTVSF,TVMAX,TVMAXT,DATUM
120,2024,12,1195,Wagramer Straße,B,8,Zentrum,Kfz,3261,3797,3710,3838,3793,3040,1856,4514,"Mi,18.12.",2024-12-01
121,2024,12,1195,Wagramer Straße,B,8,Zentrum,LkwÄ,129,171,157,184,154,68,45,233,"Mi,18.12.",2024-12-01
122,2024,12,1195,Wagramer Straße,B,8,Süßenbrunn,Kfz,3316,3815,3682,3879,3804,3148,1985,4516,"Mi,18.12.",2024-12-01
123,2024,12,1195,Wagramer Straße,B,8,Süßenbrunn,LkwÄ,136,182,175,194,158,76,42,252,"Mi,18.12.",2024-12-01
124,2024,12,1195,Wagramer Straße,B,8,Gesamt,Kfz,6576,7611,7391,7717,7597,6188,3841,9030,"Mi,18.12.",2024-12-01
125,2024,12,1195,Wagramer Straße,B,8,Gesamt,LkwÄ,266,353,331,377,312,144,87,485,"Mi,18.12.",2024-12-01
126,2024,12,1196,Erzherzog-Karl-Str.,B,3,Groß-Enzersdorf,Kfz,10150,11645,11305,11639,12090,9426,6289,13240,"Fr,06.12.",2024-12-01
127,2024,12,1196,Erzherzog-Karl-Str.,B,3,Groß-Enzersdorf,LkwÄ,236,315,309,330,279,113,82,438,"Mi,18.12.",2024-12-01
128,2024,12,1196,Erzherzog-Karl-Str.,B,3,Kagran,Kfz,10163,11652,11443,11625,11988,9128,6499,13155,"Fr,13.12.",2024-12-01
129,2024,12,1196,Erzherzog-Karl-Str.,B,3,Kagran,LkwÄ,453,571,548,595,534,274,217,730,"*Mi,18.12.",2024-12-01
130,2024,12,1196,Erzherzog-Karl-Str.,B,3,Gesamt,Kfz,20312,23297,22748,23263,24079,18554,12788,26173,"Fr,06.12.",2024-12-01
131,2024,12,1196,Erzherzog-Karl-Str.,B,3,Gesamt,LkwÄ,689,886,857,926,814,387,299,1168,"*Mi,18.12.",2024-12-01
138,2024,12,1198,Brünner Straße,B,7,Zentrum,Kfz,8324,9592,9772,9389,9924,8832,4412,10673,"Fr,13.12.",2024-12-01
